(34354, 5180)
(34354, 4373)
(92135, 5180)
(92135, 4373)
(26345, 4166)
(69329, 1283)
(79221, 1283)
(41256, 3214)
(43852, 4642)
(43852, 4806)
(40426, 1764)
(40426, 5215)
(62109, 1764)
(62109, 5215)
(9214, 2118)
(25652, 3449)
(81586, 1359)
(2300, 2653)
(2300, 5411)
(41946, 2653)
(41946, 5411)
(11604, 4251)
(90558, 4251)
(39088, 687)
(25450, 3225)
(19828, 1725)
(13171, 2956)
(26446, 1550)
(63937, 1550)
(53607, 2749)
(53607, 3768)
(75166, 2749)
(75166, 3768)
(45175, 4748)
(2163, 3160)
(2163, 3677)
(2163, 4165)
(19811, 3160)
(19811, 3677)
(19811, 4165)
(26346, 3160)
(26346, 3677)
(26346, 4165)
(9212, 5151)
(25650, 5151)
(13169, 1548)
(26444, 1548)
(63935, 1548)
(41257, 3215)
(43853, 4643)
(43853, 4807)
(63365, 5030)
(62110, 1765)
(62110, 5216)
(13094, 1727)
(13094, 1968)
(13094, 3498)
(19830, 1727)
(19830, 1968)
(19830, 3498)
(30414, 1727)
(30414, 1968)
(30414, 3498)
(4803, 3799)
(56720, 4973)
(52634, 4458)
(52634, 919)
(17197, 2267)
(77689, 2267)
(2301, 2654)
(2301, 5410)
(41947, 2654)
(41947, 5410)
(85065, 507)
(42084, 202)
(42084, 2430)
(42084, 1628)
(52841, 202)
(52841, 2430)
(52841, 1628)
(90700, 202)
(90700, 2430)
(90700, 1628)
(11605, 621)
(11605, 4252)
(11605, 5816)
(60496, 621)
(60496, 4252)
(60496, 5816)
(90559, 621)
(90559, 4252)
(90559, 5816)
(81813, 3898)
(53606, 3767)
(36234, 4809)
(43855, 4645)
(2162, 3159)
(13990, 3701)
(49007, 1900)
(49007, 3194)
(13093, 1726)
(19829, 1726)
(53605, 3766)
(62426, 4050)
(62425, 4051)
(71150, 3006)
(85067, 509)
(4334, 3348)
(51068, 3849)
(51068, 1107)
(13172, 2957)
(63938, 1551)
(8471, 1431)
(69327, 1281)
(71151, 3007)
(15968, 481)
(15968, 563)
(33404, 481)
(33404, 563)
(36268, 481)
(36268, 563)
(42086, 204)
(53608, 3769)
(75167, 2750)
(69325, 1279)
(85068, 510)
(45176, 4749)
(45176, 5494)
(95016, 4749)
(95016, 5494)
(48751, 4473)
(2164, 3678)
(11902, 4921)
(11902, 4678)
(55198, 4921)
(55198, 4678)
(92134, 5179)
(69328, 837)
(69328, 1282)
(79220, 837)
(79220, 1282)
(9213, 2117)
(9213, 5152)
(9213, 3450)
(25651, 2117)
(25651, 5152)
(25651, 3450)
(88140, 2117)
(88140, 5152)
(88140, 3450)
(2299, 5412)
(41945, 5412)
(11603, 4250)
(13170, 1549)
(13170, 2955)
(13170, 1080)
(26445, 1549)
(26445, 2955)
(26445, 1080)
(63936, 1549)
(63936, 2955)
(63936, 1080)
(42087, 205)
(52840, 201)
(90699, 201)
(60495, 620)
(36233, 4644)
(36233, 4808)
(43854, 4644)
(43854, 4808)
(13989, 1901)
(13989, 3195)
(13989, 3702)
(19689, 1901)
(19689, 3195)
(19689, 3702)
(49006, 1901)
(49006, 3195)
(49006, 3702)
(33920, 4066)
(69326, 1280)
(15967, 480)
(33403, 480)
(36267, 480)
(55197, 4679)
(92133, 5178)
(95017, 4750)
(33402, 479)
(96082, 1371)
(71147, 3003)
(81811, 3900)
(71148, 3004)
(4332, 3346)
(4332, 3847)
(4332, 1109)
(56721, 4972)
(52635, 4459)
(52635, 918)
(52635, 1308)
(69757, 4459)
(69757, 918)
(69757, 1308)
(86945, 4459)
(86945, 918)
(86945, 1308)
(34353, 4374)
(3625, 1763)
(3625, 5214)
(3625, 4306)
(40425, 1763)
(40425, 5214)
(40425, 4306)
(62108, 1763)
(62108, 5214)
(62108, 4306)
(19810, 3676)
(4802, 3798)
(85064, 506)
(12462, 1593)
(12462, 3899)
(81812, 1593)
(81812, 3899)
(17198, 2266)
(17198, 3327)
(77690, 2266)
(77690, 3327)
(41948, 2655)
(41948, 5409)
(71149, 3005)
(85066, 508)
(4333, 3347)
(4333, 3848)
(4333, 1108)
(28810, 3347)
(28810, 3848)
(28810, 1108)
(51067, 3347)
(51067, 3848)
(51067, 1108)
(42085, 203)
(52842, 2431)
(90701, 203)
(95015, 5495)
(11901, 4920)
(90698, 200)
(60497, 4253)
(90560, 622)
(90560, 5817)
(4801, 3797)
(4801, 4971)
(56722, 3797)
(56722, 4971)
(81814, 3897)
(11903, 4677)
(4800, 3796)
(69758, 4460)
(69758, 1307)
(86946, 917)
